Sadness Lexicons,Sadness Sentences,Joy Lexicons,Joy Sentences,Fear Lexicons,Fear Sentences,Anger Lexicons,Anger Sentences,Surprise Lexicons,Surprise Sentence,Disgust Lexicons,Disgust Sentences,Sadness + Joy Lexicons,Sadness + Joy Sentences,Fear + Anger Lexicons,Fear + Anger Sentences,Surprise + Disgust Lexicons,Surprise + Disgust Sentences,Sadness + Joy + Fear Lexicons,Sadness + Joy + Fear Sentences
"Sufferer, homesick, remorse, lowest, devastating, demise
","He is suffering with remorse because he is homesick, reaching the lowest point in
his life.
The realization that his demise was imminent devastated him.","Merry, chuckle, perfection, festive, succeed","They chuckled together as they enjoyed the festivities.
She was merry as she succeeded in achieving her goal of becoming a software
engineer
His mom chuckled as the perfected dinner succeeded in bringing her family back
Together.
With a sense of perfection, he prepared a festive dinner that succeeded in
bringing his family back together, making his mom chuckle with joy.","Anxiety, scare, invade, hostilities, squeamish","As he trembled in fear of his enemy, anxiety slowly crept over him.
Their actions frightened the children, leaving them feeling squeamish and
uneasy.
The marching steps of the hostiles invading left everyone frozen in fear.","Raging, betray, violent, malevolent, uprising","Betrayed and filled with rage, she initiated an uprising to seek revenge.
The violent bug’s anger boiled over, becoming malevolent and vengeful.","Overestimate, lucky, sorcery, amaze","My expectation of the dog’s jumping powers were far beyond what it could
achieve, as I had overestimated its ability to leap.
Wow! I can hardly believe it, I am so lucky to be admitted to graduate school.
She could hardly imagine the power of his sorcery, so it left her amazed.","Sty, unsatisfied, animosity","The odor from the sty in the room, made my stomach churn as it was unbearable
to be in there for any longer.
His animosity towards the group left everyone unsatisfied because their
questions were unanswered.","Lonely, glad","He was lonely, but was glad because it was the first time he felt at peace with
himself.
Although she was lonely, she learned more about herself, which made her glad to
be alone.","Cautious, wreak","The citizens were cautious as they knew the army would wreak havoc on them if
they made a sound.
She was filled with fear and anger as she viewed the damage on her home from
the water leak, vowing to be more cautious in the future so it does not happen
again.","Gasp, explosion, cringe, sickening","I was taken aback with a feeling of both gasping shock and disgust when I
learned the explosion could have been avoided.
I cringed and gasped as I watched the sickening movie kill off the protagonist.","Deserted, wealth, hiss","The avatar hissed as the wealthy king deserted his people.
The deserted castle was once home to wealthy merchants, but now only hisses
in the wind."
"Agony, savage, betrayed, stripped","I sat on the grass in agony, longing for someone because the savage world betrayed me by
stripping me of my mother.",enthusiastic,"Last weekend, I found out that I’m such a city person because when I was at the nightclub, I
was dancing so enthusiastically that my feet were never on the floor for more than a second.",anxious,"Sitting in the dark in my living room, I anxiously check my phone every minute, wondering why
my teenage daughter isn’t home at midnight.",Vehement,"I have never heard so many curse words until the day my dad vehemently berated Troy for
impregnating his girlfriend at 16 years old.",,,mouth,"Surrounded by my family and friends, I opened my Harvard admissions letter, and our mouths
plopped open when I read that I was accepted into Harvard Law.","Cry, smile","I can’t help but cry when I think about my best friend’s death, but I also can’t help but smile
when I think about the memories I made with him.","Hate, scared","I really hate that Elon Musk announced layoffs today with no regard for our wellbeings, but I’m
scared to express my opinions because I might get targeted during the layoffs.","Aghast(surprise), homeless(disgust), hairy(disgust)","This morning, I was so aghast when I saw a homeless man’s hairy body while he was
shamelessly pooping in a Janitor’s mopping bucket in a NYC subway station.","Conceal (sadness), tears(sadness) excited (joy), abandoned(fear)","I was so excited to see my wife pursue her dream job in a different country but secretly I was
concealing my tears because I felt abandoned to take care of our son."
ache,"She could feel her heart start to ache knowing the little
time they had to spend together was coming to an end.","laugh, excitement, jump","Setting sail on the final island in their journey filled the
crew with excitement. Some jumped with joy, others sighed a breath of relief, but
he simply laughed at the sight presented before them.",suppress,"Knowing he was powerless against the tyrant regime’s
army, all he could do was suppress his fear as they plundered all of his
belongings.",snarl,"The tiger snarled as the hunter sneaked closer, warning
him to keep his distance.",shock,"He felt that he would surely win the duel as he confidently
took 10 paces forward. He suddenly turns and quickly takes his shot. He pauses
for a second, shocked as he sees his foe standing unharmed, before falling to the
ground himself.","deform","As the rescue team rushes to aid the infected, they can’t
help but look with disgust at their deformed limbs.","cry, fulfill, excite","An enormous sense of fulfillment rushed over the team
as they scored the winning point. But as their excitement came to an end, they
couldn’t help but cry knowing that this would be the last time they would play
together.","dictator, rebel, oppressive, rebel, oppressive","Twelve years of an oppressive dictatorship is all the
country’s people had any memory of. Unable to endure the pain any longer, a
resistance was formed in secret. Having gathered a large enough following,
today marked the beginning of their rebellion.","paralyzed, monstrosity","As the adventurers reached the end of the dungeon,
they noticed that the treasure was guarded by an ominous ooze. When they
approached it, they were paralyzed in fear as the ooze took on the form of their
closest loved ones.","wonderful, dismay, dismay, afraid","“Here, the last of the $10,000. You’re keeping your word
right? Leave this town now and release my family.” She was relieved at the
thought of finally bringing peace to this town. “Oh, how wonderful! But did you
really think I was done? Thanks for bringing me the money, but I no longer have
a need for you. Leave.” She dropped to her knees, laying in dismay. The
strong-willed girl she had built herself to become had suddenly disappeared and
she was once again afraid of the man standing in front of her."
abysmal,"The dog sat inside of his abysmal house, longing to be outside.",hero,"In the movie, the boy’s hero defeated the villain making the boy leap in the air.",carcinoma,"The doctor came into the room and began describing the deadly carcinoma seen
on the scan to the patient’s family.",rebellion,"The girl stomped to her room after her parents sent her upstairs because of her
act of rebellion.",confession,"The jury could not believe the witness’s confession as the lawyer broke him
down.",bacteria,"The family looked away in horror, as the bacteria continued to grow.","antisocial, sadness, hopeful, joy
","Despite being antisocial throughout the years, I am hopeful that I will make new
friends in college.","dishonor, fear, renounce, anger","He did not want to dishonor his family, but he renounced the family business to
go to college.","marry, surprise, disappointment, disgust","She thought he was bending down on one knee to ask her to marry him, but to
her disappointment, he was just tying his shoe.","injury, sadness, healing, joy, discipline(d), fear
","Despite her traumatic injury, she was happy to know that she was healing well
only if she continued on her disciplined regimen of medications."
"desert, undesirable, deceased, desolation, weeping","The widower weeps for his deceased wife.","ditty, playhouse, rejoicing, entertainment, daughter","He rejoiced at the sight of his newly born daughter.","seclusion, cringe, bayonet, confessional, agony","I have been secluded in this cell for the past two days
with no food or water, and only the voices in my head for company.","diabolical, disillusionment, blasphemous, sneer, delusion","The people, disillusioned by the recent actions of the
government, have risen up in protest.","pleasant, variable, improvise, frenetic, defy","How pleasant it is to see your delivery package arrive two
days early.","contaminate, perversion, birch, antipathy, sickening","The birch trees have been contaminated by an
unidentified affliction, leaving their bark in a sickening shade of green.","commemorate, undying, unbeaten, mother, heartfelt"," We commemorate this brave and caring mother, whose
act of sacrifice demonstrates her undying love for her children.","rascal, fluctuation, deprivation, mislead, unthinkable"," The fact that the school district would deprive children of
access to lunch is unthinkable.","scream, celebrity, rave, uncertain, affront"," The recent actions of this celebrity musician are nothing
less than an affront to humanity.","outburst, opera, destination, weight, endless","The weight in the voice of the opera singer conveyed the
melange of emotions that Odysseus experiences as he reaches his destination at
long last, marking the conclusion of his seemingly endless voyage at sea."
"Disconnect, Damages, Unsuccessful,","This unsuccessful negotiation not only caused us substantial damages,
but also deepened the disconnect between us.","Felicity, Smiling, Love,","Whenever I see my wife's smiling face, my heart fills with love and felicity","Lion,anxious, Unsafe,","While I was exploring the grasslands, the roar of lions in the distance
made me feel incredibly unsafe and anxious.","Storming,Arguments, Opinionated,","He is very opinionated when it comes to money-related topics, leading to
storming arguments every time.","Reappear, Prank, Unforeseen","Just when we thought the prank was over, he suddenly reappeared out of
nowhere with an unforeseen twist that left us all surprised.","Garbage,Maggot,Squirm,","The sight of maggots squirming in the garbage disgusted me, and I
couldn't stand the repulsive creatures.","Music,Felicity,Negative,","Despite the negative memories the music evokes, I can't help but feel a
sense of felicity as I recall the happy times we shared together.","Homicidal,Stone,Hazardous,","The sight of the homicidal maniac throwing a stone at our car made me
feel both fearful, knowing that the situation was highly hazardous.","Slush,Startling,Garbage,","As I stepped into the slush-filled alley, a startling sight made me sick - a
pile of rotting garbage.","
Sympathetic,Happy,Scare,Hurt","I was happy to see his sympathetic side, but at the same time scared and
hurt by his second personality."
Weeping,The widow can be found weeping near her son’s grave.,Glee,"As the lottery numbers were read out one by one, the man realized that they
were his and he jumped about with glee, grinning from ear to ear.",Abyss,"The stray dog stared into the dark forest, seeing only predatory eyes looking
back at him from the looming abyss.",Brutal,"Edmond vowed that he would enact a brutal and insidious revenge on all of those
that had wronged him.","Abrupt","A loud noise shook the hall as the sorcerers staff abruptly transformed into a
snake","Appalling","At the party, a girl’s face wrinkled up at the appalling sight of her drunk boyfriend
dancing around like a fool.","Abandoned, Exuberance","Following the murder of his father, Genghis was left abandoned by his own tribe,
but a bright vision flashed across his mind of uniting the lands under a singular
control, and thus he rode off with a newfound exuberance.","Cruelty, Explode","The Wizard of Oz possessed and wielded his power with terrifying cruelty, but
when it was found out that he was a mere weak man behind the curtain, the
adventurers' tempers exploded.","Shockingly, Corpse","Shockingly, there was a corpse of a deer on the road right in front of them and its
stench filled the air.","Comatose, Ecstatic, Demented","The people found the body of their friend seemingly in a comatose state, as the
body moved, they became ecstatic with relief, but that relief turned to terror as
their friend had sharp teeth and the look of a demented vampire."
Interrupted,"I was telling my story about bossing my subordinates during the Christmas office party
when I was then interrupted by a sudden blackout. I could no longer tell my anecdote.",treasure,"I was digging some sand on the beach, but I then found
some buried treasure. It looks like someone’s beautiful wedding ring is mine now.",jeopardy,"The town is in jeopardy of an incoming tsunami if we do
not evacuate it. However, the townsfolk accused me of spreading lies and
subsequently perished.",malicious,"“This lawsuit has no basis in fact and is very malicious,”
the defense lawyer argued. “Your client took my client’s money supposedly as an
investment into blockchain technology, but in reality stole it to buy a yacht to
impress his friends on the Internet,” the plaintiff’s lawyer responded.",raid,"The way the FBI raid was a complete shock to the
community, but perhaps the house with funky chemical smells coming out of it
should have served as a warning that something was up.",revolting,"The cake that the kids baked using a recipe from TikTok
looked revolting as the icing oozed from the interior of the cake which was also
sprinkled with bacon.","painful, renovation","It was very painful to retile the bathroom, to install
hardwood floors, and to repaint the rooms taking hours of labor and dealing with
overpriced contractors. At the end, we were pleased that the renovation of the
house was complete.","fire, enforce","The manager had enough. He was going to enforce the
policy against reheating leftovers in the breakroom microwave for the employee.
The employee was then fired for cause preventing him from accessing
unemployment insurance.","coup, horrifying","The then-president was ousted in a coup by his own
generals who used a horrifying show of force for which he felt no choice but to
flee the presidential palace.","quiet, uplift, battlefield","I was a shell creator on the battlefield. Occasionally, a
shell would land nearby but it was otherwise quiet. I could not move or else I
would lose my life. It was then when I heard a whistle and yell. “Ceasefire!” It is
an uplift to my spirit to know that I can walk back to my comrades."
"Fatal, struggle, overwhelmed, worthlessness, isolate, devastating, grief
","He felt worthless and isolated after the devastating loss of his loved ones,
trapped in a cycle of grief.","Gratifying, joy, laughing, happiness, healing, utopian, perfect, achievement, smile","Gratifying success filled me with joy, as I laughed out loud with happiness.
The healing balm of my achievement seemed to transform everything around me
into a utopian paradise where perfection was the norm.
I thought about my accomplishment and it made me smile.","volatility, fear, anxiety, traumatic, nightmare, crushing, misery","As the rollercoaster soared high above, her fear of heights mixed with the
volatility of the ride, making her feel like she was living a traumatic nightmare.
She felt anxious with every drop of the ride.
Her anxiety weighed on her and made her miserable.
When the ride stopped, she finally felt relieved and could breathe easily again.","robbery, fear, horrific, violent, crime, disrespect, stolen, anxious, annoyed,
invaded, violation","The possibility of a home robbery terrifies me, while violent crimes in the news
leave me fearful for my safety in public spaces.
Burglars stealing from my car is a violation of my space and trust, making me
anxious and annoyed.","Rejoicing, magical, earthquake, violently, illuminating, hilarious, terrifying,
experiment, surprise, bewildered","As I was rejoicing in the magical beauty of the night sky, the ground suddenly
shook violently with an earthquake, illuminating the darkness with a flash of light.
Witnessing my science experiment go haywire in such a hilarious yet terrifying
manner left me surprised and bewildered.
But the real magical surprise came with the sudden appearance of a unicorn in
my backyard.","Greed, imprisoned, leeches, oppress, sloppy, waste, insult, homeless, coward","A greedy CEO imprisoned his workers with low wages, while he lived a lavish life
on his yacht like a leech sucking their blood.
The oppressors showed their cowardly disregard for basic human dignity by
leaving the homeless to live in their own waste, a sloppy insult to their humanity.
The homeless fought for their rights and demanded their basic needs be met,
standing up against the cowards who sought to keep them down.","refugee, painful, losing, abandoned, miracle, companion, special, joyous","
The refugees felt a mix of painful loss and joyous amazement as they were
abandoned by their old life, yet found a miracle in the form of a special
companion.","volcano, stranger, fragile, disagreement, complain, worse","The fragile peace between us shattered like a volcano as the stranger's constant
complaints and disagreements made everything worse.","betray, scream, cheer, sour, infect, grumpy, arrogant","The arrogant wizard betrayed his own kind, infecting them with a sour curse, all
while grumpily screaming at anyone who tried to help, and yet, his followers
continued to cheer him on.","gloom, illegal, tree, witty, surrender, dementia","The illegal felling of the old tree brought gloom, but the community found joy in
reminiscing its witty moments, and fear in surrendering to the possibility of
dementia erasing their memories."
Abandon,"As she kept reading, she realized that the tears running
down her cheeks reflected the contents of the letter, and she sat down
heartbroken, abandoned by the one person she thought would be by her side till
the end of time.","Young, zealous","The young and zealous students of the high school
nearby organized a fundraiser to support the development of the park, instilling
hope in the community and filling everyone’s hearts with jubilation and fulfillment.","Abduction, yell","Rachel stood frozen in fear, watching helplessly as the
child yelled for help and fought back, yet was still abducted.","Abhor, yell, frustration","He couldn't help but feel a surge of anger and frustration
as he heard his boss yell yet again, resulting in him abhorring the toxic work
environment.",accident,"While cleaning the attic, I accidentally came across an old
chest filled with treasure.",Abhor,"Jaison abhors the taste of seafood since it makes him
nauseated and sick.","Abandon, young.","Jason and his sibling were abandoned at a very young
age by their parents.","Abduction, yell","While being abducted, James yells out for help.",,,"abduction, abandon, young","After being abandoned on the streets at a very young
age, Seema was abducted last week by a certain group."
death,"Hachiko, an Akita dog, waited for his master to return nine years after his death.","happiness, winner","He realized his ticket was a winner and that he had just won the grand prize. The
look on his face said it all.","accolade","The theoretical physicist received many accolades for his groundbreaking
discovery involving string theory.","Yell, Youth","The old man yelled at the youth to get off his lawn.","Abrupt, Startle","The abrupt sforzando startled the crowd.

","Vomit, Disgust","The thought of having to clean up after the customer who had vomited gave her a
feeling of deep disgust. “I don’t get paid enough for this”, she mumbled to herself.","feeling, emptiness, good","Finishing the book left me with a feeling of emptiness. Only a good book could
make you feel that way.","crime,wrongly,accused, abandoned","Zorba was wrongly accused of a crime he did not commit. The fact that no one
believed him left him feeling abandoned.","rat, uncover","Lifting the lid uncovered a hidden rat's nest. What followed was a wave of
scurrying mice running in all directions.","depressed,negative,birth,disappear,joy","The birth of his child left Joel feeling a mix of different emotions. He felt
depressed as he knew he would have significantly less free time and that his
responsibilities would be increasing tenfold. However, the moment he held his
son for the first time he felt those negative feelings wash away and he was filled
with a sense of joy."
"abduct, abandon, abuse","When I see abducted and abandoned children, I know
that there are many more people in this world who abuse these methods for
money.","accompaniment, achieve, accolade","The number of accompaniment scores he has completed
so far is huge, but he does not crave these achievements and accolades.","Abhorrence, abhorrent","Abhorrence and anger overcame his fear and made him
rebel, even though he was still locked up in the basement of those abhorrent
bandits.","abhorrent, accused, abuse","In court, I accused these government officials of abusing
their power, but these abhorrent lawyers helped these people cover up evidence
of crimes for money.","alert, anomaly","I saw some anomalies prior to this disaster, so the sound
of the alerts that came immediately afterwards did not surprise me very much.","abortion, abominable","When I heard that a woman had been forced to have an
abortion by an abominable man, I instantly became disgusted with the man who
did not take responsibility.","accolade, abducted","Those soldiers rescued the abducted people from the
house, so they gained the accolade of the crowd.","abused, abhorrent","People took those who abused children to court so that
they could give some psychological comfort to the masses who abhorrent those
people.","abominable, anomalies","The abominable companies that are destroying the
environment don't realize that their actions have started to cause some
anomalies on the planet.","abhorrent, abhor, abuse
","He often praises those who abhor animal abuse
because the act is so abhorrent."
Abandon,"She decided to abandon her dog.",Alive,"He was happy to see his dog alive after the earthquake",Afraid,"I am afraid of making a sentence.",Annoying,"That puppy keeps barking, it's annoying",Accidentally,"
She accidentally breaks the cup",Abuse,"It's completely unacceptable that some people abuse their power and use it to
manipulate and exploit others, which is truly disgusting and despicable behavior.","Abandon, Alive","After the earthquake, many people had to abandon their belongings to stay alive.","Afraid, Annoying","I find it annoying when people try to scare others just for fun, it's not funny and it
can make them afraid.","Abuse , Accidentally","It is never acceptable to abuse someone, even if it was done accidentally.
","Ache, adorable, afraid","The little puppy looked so adorable with its big brown eyes, but I was afraid to
pick it up because my back was starting to ache."
"Anguish, abyss, endless","The woman’s cries of anguish grew louder as she
watched her beloved husband fall into the endless abyss.","Beautiful, perfect, sweet, glee","The man thought with glee about his beautiful, sweet
girlfriend on his way home from her apartment, after spending a perfect evening
with her.","Armed, Hostage, Horror, Quivered","The hostages quivered in horror as the armed gunmen
shot one of their friends in the back of the head.","Rabid, beast, killing","Upon seeing hunters in its home, the rabid beast tore
them apart, killing them one by one.","Sudden, outburst, yelped","The man yelped when he entered his apartment and was
greeted with the sudden outburst of “Happy Birthday’s!!!” from his family and
friends.","Horrifying, sick, bloodshed","When news of the horrifying mass shooting got out,
viewers felt sick from the bloodshed and carnage.","Somber, departure, Ecstatic, finally, dreams","Although his departure for London was a somber one,
Daemon was ecstatic to have finally received an invitation to attend the school of
his dreams.","Attack, raging, Flee, panic","The sudden attack of the raging army forced the
unarmed villagers to flee in a disorganized panic","Unexpected, mutiny, Ashamed, horrid, betrayal","The unexpected and brutal mutiny onboard the ship left
the remaining crew feeling ashamed for the horrid betrayal of their captain.","Bloody, loss,Celebrated, rejoice,Suffering, terror","
On the eve of the war’s end, the kingdom’s people
celebrated and rejoiced, after suffering through a bloody decade of loss and
persistent terror."
Abandoned,"As Ash and Pikachu continued their journey through the
region, they passed the abandoned Pokemon center as a haunting reminder of
the day they lost their friends.",Zealous,"When I heard about the news of a new Pokemon game
coming, I was filled with zealous joy - I couldn’t wait to see the new Pokemon.",Wrongly,"As an experienced trainer, I fear that I may have wrongly
chosen the wrong starter Pokemon, as the last evolution is rumored to be ugly.",Abolish,"I was very angry when I heard the bad guys were trying
to abolish the connection between people and their Pokemon.",Accidentally,"When I was walking through the grass, I accidentally
found a shiny Pokemon, my first ever shiny.",Wreched,"When I entered the Pokemon Center, The horrible smell
of rotten eggs filled my nostrils, making me feel very wretched.","Wrongful,Accompaniment","As Ash went through the new region he felt a wrongful
sadness come over him as he left all his old Pokemon behind, but the
accompaniment of Pikachu reminded him that they will always be there for him.","Xenophobia, Yelled","As the group entered the grassy area, they felt a large
amount of xenophobia of the wild Pokemon, who yelled in their ear, making them
feel both angry and scared.","Abrupt,Wreck
","As I walked into the cave, I happened to fall upon a
wreck of dead Pokemon, causing me to leave in an abrupt way.","Wrongly,Zealous,Abduct
","As I played in the forest with my Pokemon, I felt so
many emotions. I was filled with the joy of having my Pokemon with me all the
time, but I felt Sadness that with wouldn’t last forever. At the same time, I couldn't
help but shake the fear that a zealous gang lord would abduct my Pokemon. This
has wrongly been instilled into my mind by the rumors I hear around the city."
"Despair, unrequited, alcoholism
","I had never felt true despair until my first unrequited love, all of my love is unreturned,
drove me to alcoholism by telling me she’s had a boyfriend all this time.","Exhilaration, exuberance, delicious, beach, love","I remember I was filled with exhilaration and exuberance when my first love said yes to
my idea of eating a delicious meal on the beach.","Terrifying, death","The most terrifying thing in life that keeps me up at night is not death but instead the people I
love most realizing there are just so many better and higher quality people out there.","Frustrating, uncontrollable, unfairness, undesirable, inequality, insane","The concept of life itself can be so frustrating due to its uncontrollable unfairness. The
idea that you can be given a set of undesirable traits and looks and it results in you
being treated with great inequality is insane","Shattered, shocked","I was shattered when the girl I had been in love with for three years shocked me by telling me
she’s had a boyfriend for the past year.",disgusted,"After all the hugging and affection my first love used to show me, I felt disgusted when I learned
she was just doing it all to fill a void in her life.","Depressed, betrayed, abandoned, happiness, love, share","Even though I feel depressed, betrayed, and abandoned after my first love had told me she has
had a boyfriend all this time, I still discover great happiness from some of the memories we were
able to share.","Powerlessness, incensed, feel","I’m incensed by the powerlessness I feel I have over how much I can change how I look.","Receive, expected, unexpectedly, disgusted","When the exam I had expected to receive a good score on, unexpectedly came back as a fail, I
felt disgusted with myself.","Afflicted, greatly, loss, youth, glad, happy","Although I am greatly afflicted by the incoming loss of my youth, I am glad that I got to have a
somewhat happy childhood."
"abuse, accident, agony
","“After the car accident, he experienced both physical
agony from his injuries and emotional abuse from the blame and
accusations.”","amour, amusing, award","“Her amusing and witty acceptance speech for the
award melted everyone's hearts as she expressed her deep amour for the
art of storytelling.”","abandonment, abyss, assault","“The victim felt a sense of abandonment as they
stood at the edge of the abyss, contemplating the emotional assault they
had experienced.”","aggressive, anxiety, bark","“The aggressive dog's incessant bark filled the
neighborhood with anxiety.”","frontal, beautified, sane","“The frontal view of the newly beautified building was
a sight to behold, and it gave me a sense of calm that helped me feel more
sane.”","accusation, rifles, mislead","“The accusation of using rifles to mislead the enemy
was vigorously denied by the military spokesperson.”","art, endless, heartfelt","“After days of creating and pouring her heartfelt
emotions into her art, she found herself lost in an endless sea of
creativity.”","witchcraft, wrath, yelp","“In the midst of the witchcraft trial, the accused let
out a yelp of wrath as they proclaimed their innocence.”","treat, weight, winning","“After losing weight, she rewarded herself with a
delicious treat, celebrating her winning achievement.”","destination, feeling, romance","“The couple traveled to a dreamy destination,
captivated by the feeling of romance in the air.”"
Forgotten,"Seth Blaine has passed away at the age of 86, but with
no living friends or family and a relatively uneventful life, Seth has been forgotten
in history forever.",Miracle,"It is a miracle that they could ring the cancer bell to signify
the end of their chemotherapy treatment.",Helplessness,"As the vampire hunters were slowly surrounded by
hundreds of vampires, an eerie feeling of helplessness quickly set in.","Murderer, Revenge","As John saw his father’s murderer, his mind was
overtaken by the sole thought of revenge.","Camouflaged, Shocked, Suddenly","With the leopard completely camouflaged, the antelope
was shocked when the leopard suddenly pounced at it.",Nauseous,"Jane started feeling nauseous when she opened the
fridge and saw cockroaches everywhere.","Deaths, Violent, Rejoiced, Truce","After fighting many long years of a violent war with
millions of deaths, both sides rejoiced as a truce was signed and soldiers
returned to their families.","Killer, Hopelessly, Victims, Yelling","As the serial killer approached me with a machete, I
hopelessly backed up to a table where I suddenly found and picked up a knife,
and as my mind filled with the faces of all of the killer’s victims, I charged at the
killer yelling.","Bewildered, Sickened, Corpses","We were bewildered when we picked up an SOS signal
from a missing ship, but as we got closer, we were sickened to see many corpses
on the decks.","Distraught, Lost, Ecstatic, Trembling, Aggressive","I was totally distraught when I lost my cat, but when my
neighbor told me they saw my cat down the street, I was ecstatic; however as I
approached the cat down the street, I started trembling as I realized that it was
an aggressive stray cat."
"anxiety, anguish, suffering, degrading,
deformity","I feel a deep sense of anxiety and anguish about what the future has in
store for me.
My heart ached to see her suffering from a terminal illness.
It was so degrading of them to bully her over a congenital deformity.","delighted, favorite, friendship, blossom
(blossomed), love, fulfillment, wonderful, twinkle, excitement, birthday","She was so delighted to have her favorite dessert, Tiramisu, on her 25th
birthday.
Their friendship blossomed as they bonded over their love for gardening
which filled them both with a great sense of fulfillment.
You could see his excitement and a twinkle in his eyes as the room filled
with the wonderful aroma of freshly brewed coffee.","disaster, alarming, afraid, concerned,
anxiety, coma, horrifying, accident","She felt afraid after learning about the alarming long term effects of the
Hiroshima and Nagasaki disaster.
He grew more concerned and his anxiety doubled as his best friend
slipped into a coma after a horrifying bike accident.","berserk, blatant, senseless,
uncontrollable, erupt, anger","His blatant ignorance of the current state of the LGBTQ rights made me
go berserk.
Her senseless comments against pregnant women were uncontrollable
and made Anna erupt in anger.","shock, unexpectedly, aghast","She was utterly shocked when she found out that she was unexpectedly
rejected by her dream university.
Her mother was aghast when she saw the state of the house after her son
threw a party the previous night without her permission."," bad, appalling, despise, derogatory","His bad behavior was so appalling, it deserved detention.
Since that day, I truly despised him for his derogatory comments against
the underprivileged.","awful, pain, misery, elated, birth, adoration","Despite going through awful pain and misery during her third trimester,
she was elated after giving birth to her daughter and looked at her with
such adoration.","bankruptcy, fraudulent, fearful","She felt fearful and enraged as she was on the brink of bankruptcy after
being involved with a fraudulent business.","gross, unexpectedly, wart","He was so grossed out but could not look away from the unexpectedly
massive wart on his friend’s belly.","exhilaration, winning, sorrow, anxiety,
fearful","She felt a mix of emotions, feeling exhilaration after winning the race,
sorrow when she reflected on the months of anxiety during her training,
and fearful as she had set new expectations in the eyes of her supporters."
"lone, isolation, inability","The lone wolf laid in isolation, regretting its inability to
protect its pack from dying.","happily, beautiful, jump","The beautiful bridesmaid happily jumped into the bride’s
arms, congratulating her.","ghost, difficult, dangerous","The reported sightings of a ghost made it difficult and
dangerous to walk through the neighborhood at night.","grab, frustrated, kick
","The frustrated soccer player grabbed a ball and kicked it
over the fence.","gasp, pop, magician","When the magician popped open the balloon the woman
was holding, a ring landed on her lap, prompting a loud gasp from her.
","filthy, janitor, puke","The janitor almost puked when he saw the filthy bathroom
he was about to clean.
","gorgeous (joy), graduation (joy), tearful
(sadness)","The gorgeous young woman was tearful at her college
graduation.","crazy (fear, anger), possessed (fear,
anger), demon (fear, anger)","Everyone thought the crazy woman who was laughing
and crying at the same time was possessed by a demon.","frighten (surprise), goblin (disgust), gory
(disgust)","The gory goblin frightened the young boy when he
raced around the corner.","grenade (fear), obliterate (fear, sadness),
smile (joy)
","The war captain smiled when the grenades obliterated
the enemy’s fortress."
abandoned,"The lonely and hungry puppy whined as he sat in the cold, feeling
abandoned by his owner.",youth,"Her heart melted in joy as she watched her young daughter dance and
twirl, reveling in the exuberance of youth.",abandoned,"She trembled in fear as she stumbled upon the eerie, abandoned old
building in the middle of the night, feeling a sense of foreboding and
desolation.",wrongful,"He clenched his fists and teeth, holding back a fight and calming his
anger while hearing about the injustice and wrongful accusation against
his best friend.",yelp,"She let out a yelp in surprise when her friends from home threw a surprise
party for her birthday, catching her off guard.",abnormal,"Realizing the bread had an abnormal texture of the slimy bread and
growing cultures after she took a bite, made her recoil with a mix of
disgust and surprise.","Abandoned, Zeal","At a young age, she was disowned and then abandoned by her loved
ones because she wanted to pursue her passion in art. Despite the
hardships she faced, she continued to follow her dreams of painting with
unwavering zeal.","Wrongful, abandon","Molly had an argument with her parents because they wrongfully accused
her of something she did not do at school. However, in the heated
argument, she quickly calmed herself down worried she would ve
abandoned by her adoptive parents, like other families have done in the
past.","yelp, wretched","Sarah came back from a month-long vacation and yelped the moment
she got home, realizing that she had forgotten to take out the trash prior
to leaving. As she lifted the pile of trash bags, she was irked at the
wretched stench coming from the rotting mess.","wrongdoing, zeal, abandon","Coming from a strict family, Tom’s parents did not support his want to
pursue music. They were worried that he would not be able to make a
living to support himself and threatened to abandon him if they had to.
Regardless, Tom continued to pursue his career in music with zeal,
determined to right the wrongdoing and show his parents that he had
made the right decision."
reject,"Whenever Alexa remembered how the love of her life
rejected her, she would burst into tears uncontrollably.","victory, elated","Ethan was elated to find out about the Kansas City
Chiefs’ victory in the Super Bowl game this year.","conquest, war","Russia’s attempted conquest of Ukraine has caused
many to be terrified of the possibility that a world war will occur the near future.","lying, rage","When George found out that Olivia was lying about her
whereabouts the night before, he flew into a fit of rage.","zeal
","Michael was astonished to see Harper’s zeal in trying to
secure a discount on the handbag.","impurity","Charlie was revolted when he discovered that the gold he
purchased was actually riddled with impurity.","ravenous, heartily, food","While Liam was despondent to see the orphans eat in
such a ravenous manner, he heartily got up to bring more food to them from the
kitchen.","harrowing, terror, gruff","Charlotte’s terror of Noah’s harrowing driving habits on
the freeway is what caused her gruff and irritated mood last Sunday.","
astonishment, drivel","Claire could not hide her astonishment at Amelia’s
insistence in spewing her political drivel, even at the dinner table.
","Hopelessness, pride, excitement, Awful, despair","While Jack could only feel despair and hopelessness for
his own future in this awful job market, he still could not help but feel pride and
excitement for his friend Calvin’s new position at Google."
